Invoice number,3909411866,
Invoice date,2021-04-30,
Due date,2021-05-30,
Billing ID,5261-1868-6451,
Billing account ID,01A56A-FF37DD-411346,
Currency,USD,
Total amount due,"$13,879.07",
Billing account name,Billing account ID,Project name,Project ID,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($),
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,,Usage,2021-04-01,2021-04-30,"29,030.716",gibibyte month,2903.071068,2903.07,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2021-04-01,2021-04-30,"83,000.989",hour,2623.743501,2623.74,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2021-04-01,2021-04-30,"524,900.827",gibibyte hour,2224.003487,2224.00,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2021-04-08,2021-04-30,"63,991.732",hour,2022.842255,2022.84,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2021-04-08,2021-04-30,"422,640.194",gibibyte hour,1790.725776,1790.73,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Custom Instance Core running in Americas,ACBC-6999-A1C4,,Usage,2021-04-26,2021-04-30,"28,057.414",hour,930.776514,930.78,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,,Usage,2021-04-01,2021-04-30,"3,452.316",gibibyte month,586.893227,586.89,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,,Usage,2021-04-01,2021-04-30,"12,064.871",gibibyte month,481.995198,482.00,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,,Usage,2021-04-01,2021-04-30,"15,851.419",gibibyte month,412.136344,412.14,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,,Usage,2021-04-01,2021-04-30,"9,398.292",gibibyte month,375.330319,375.33,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Custom Instance Ram running in Americas,51E2-59BD-7A6E,,Usage,2021-04-26,2021-04-30,"56,114.841",gibibyte hour,249.486375,249.49,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2021-04-01,2021-04-30,"5,479.386",hour,173.208220,173.21,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Network Internet Egress from Americas to Americas,F274-1692-F213,,Usage,2021-04-01,2021-04-30,"1,341.468",gibibyte,157.570410,157.57,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2021-04-01,2021-04-30,"33,430.725",gibibyte hour,141.644821,141.64,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,,Usage,2021-04-01,2021-04-30,"39,612.605",gibibyte hour,115.808054,115.81,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,,Usage,2021-04-01,2021-04-30,"4,784.567",hour,104.358482,104.36,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2021-04-08,2021-04-30,"3,154.384",hour,99.712904,99.71,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,,Usage,2021-04-01,2021-04-30,"22,642.182",hour,88.207260,88.21,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,,Usage,2021-04-01,2021-04-30,511.468,gibibyte month,86.949462,86.95,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,,Usage,2021-04-01,2021-04-15,"29,441.675",gibibyte hour,86.073181,86.07,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in Americas for 1 Year,8826-F8CF-0346,,Usage,2021-04-01,2021-04-15,"46,080",gibibyte hour,84.871163,84.87,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,,Usage,2021-04-01,2021-04-15,"3,847.217",hour,83.913546,83.91,
,,,ucb-datahub-2018,Stackdriver Logging,5490-F7B7-8DF6,Log Volume,143F-A1B0-E0BE,,Usage,2021-04-01,2021-04-30,214.692,gibibyte,82.343935,82.34,
,,,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2021-04-08,2021-04-30,"18,732.913",gibibyte hour,79.370729,79.37,
,,,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in Americas for 1 Year,F0E3-4F53-A0FB,,Usage,2021-04-01,2021-04-15,"5,760",hour,79.149818,79.15,
